ID_Fuente,Fuente,ID_Dato ,Categoria,Descripción Fuente,Descarga Link,Descripción información,Email Contacto,Cobertura,Sitio Web,Link API,Especificaciones API,Descarga FTP,Descarga XML,Comentario,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Categorias
1,Jumbo,1,Alimentacion y Medicamentos,Sitio oficial supermercados Jumbo,,Puntos georreferenciados de los locales (en google maps),,Nacional,https://www.jumbo.cl/institucional/locales-jumbo?nombre_promo=locales-17032020,,,,,"Búsqueda de locales por Región, Comuna, Local",,,,,,,,,,Hospitales y Clinicas
1,Jumbo,2,Alimentacion y Medicamentos,Sitio oficial supermercados Jumbo,,Horarios de atención,,Nacional,https://www.jumbo.cl/institucional/locales-jumbo?nombre_promo=locales-17032020,,,,,Aparece el listado con horarios cuando se selecciona al menos una región,,,,,,,,,,Organizaciones
1,Jumbo,3,Alimentacion y Medicamentos,Sitio oficial supermercados Jumbo,,Direcciones,,Nacional,https://www.jumbo.cl/institucional/locales-jumbo?nombre_promo=locales-17032020,,,,,Aparece el listado con direcciones cuando se selecciona al menos una región,,,,,,,,,,Alimentacion y Medicamentos
1,Jumbo,4,Alimentacion y Medicamentos,Sitio oficial supermercados Jumbo,,Aviso especial: cambio horarios,,Nacional,https://www.jumbo.cl/,,,,,Aparece debajo de las notificaciones que se deslizan,,,,,,,,,,Cuarentena
1,Jumbo,5,Alimentacion y Medicamentos,Sitio oficial supermercados Jumbo,,Aviso especial: horarios exclusivos grupos de riesgo,,Nacional,https://www.jumbo.cl/,,,,,Aparece en las notificaciones que se deslizan,,,,,,,,,,Trabajo
2,Lider,6,Alimentacion y Medicamentos,Sitio oficial supermercados Lider,,"Listado de locales: Lider, Ekono, Central Mayorista, Express de Lider, Superbodega Acuenta",,Nacional,https://www.lider.cl/tiendas,,,,,Es una tabla no descargable,,,,,,,,,,Transporte
2,Lider,7,Alimentacion y Medicamentos,Sitio oficial supermercados Lider,,Direcciones,,Nacional,https://www.lider.cl/tiendas,,,,,Es una tabla no descargable,,,,,,,,,,Economía
2,Lider,8,Alimentacion y Medicamentos,Sitio oficial supermercados Lider,,Disponibilidad: Abierto/Cerrado,,Nacional,https://www.lider.cl/tiendas,,,,,Es una tabla no descargable,,,,,,,,,,
2,Lider,9,Alimentacion y Medicamentos,Sitio oficial supermercados Lider,,Horarios de atención,,Nacional,https://www.lider.cl/tiendas,,,,,Aparece en un aviso en el encabezado de la página,,,,,,,,,,
3,Unimarc,10,Alimentacion y Medicamentos,Sitio oficial supermercados Unimarc,,Puntos georreferenciados de los locales (en google maps),,Nacional,https://www.unimarc.cl/locales_unimarc/,,,,,"Búsqueda de locales por Región, Comuna",,,,,,,,,,
3,Unimarc,11,Alimentacion y Medicamentos,Sitio oficial supermercados Unimarc,,Direcciones,,Nacional,https://www.unimarc.cl/locales_unimarc/,,,,,"No hay listado, aparece información para cada local de manera individual al seleccionar el punto en el mapa",,,,,,,,,,
3,Unimarc,12,Alimentacion y Medicamentos,Sitio oficial supermercados Unimarc,,Horarios de atención,,Nacional,https://www.unimarc.cl/locales_unimarc/,,,,,"No hay listado, aparece información para cada local de manera individual al seleccionar el punto en el mapa",,,,,,,,,,
4,Santa Isabel,13,Alimentacion y Medicamentos,Sitio oficial supermercados Santa Isabel,,Puntos georreferenciados de los locales (en google maps),,Nacional,https://www.santaisabel.cl/locales/,,,,,"Se ven los puntos, pero tira un error el google maps, se ve oscuro el mapa",,,,,,,,,,
4,Santa Isabel,14,Alimentacion y Medicamentos,Sitio oficial supermercados Santa Isabel,,Direcciones,,Nacional,https://www.santaisabel.cl/locales/,,,,,Aparece listado con direcciones cuando se selecciona región y comuna,,,,,,,,,,
4,Santa Isabel,15,Alimentacion y Medicamentos,Sitio oficial supermercados Santa Isabel,,Horarios de atención,,Nacional,https://www.santaisabel.cl/locales/,,,,,Aparece listado con horarios cuando se selecciona región y comuna,,,,,,,,,,
5,Tottus,16,Alimentacion y Medicamentos,Sitio oficial supermercados Tottus,,Coordenadas de los locales ,contacto@tottus.cl,"RM, V, VI y VII Regiones",https://www.tottus.cl/tottus/storelocations,,,,,"Ver mapa: Al hacer click no carga el mapa, pero se abre ventana con coordenadas",,,,,,,,,,
5,Tottus,17,Alimentacion y Medicamentos,Sitio oficial supermercados Tottus,,Direcciones,contacto@tottus.cl,"RM, V, VI y VII Regiones",https://www.tottus.cl/tottus/storelocations,,,,,Listado de locales con dirección,,,,,,,,,,
5,Tottus,18,Alimentacion y Medicamentos,Sitio oficial supermercados Tottus,,Horarios de atención,contacto@tottus.cl,"RM, V, VI y VII Regiones",https://www.tottus.cl/tottus/storelocations,,,,,Listado de locales con horarios,,,,,,,,,,
6,Alvi,19,Alimentacion y Medicamentos,Sitio oficial supermercados Alvi,,Puntos georreferenciados de los locales (en google maps),Correo de contacto para cada local,"RM, IV, V, VI, VII, VIII, IX, X, XVI Regiones",https://www.alvi.cl/locales,,,,,"Búsqueda de locales por Región, Comuna",,,,,,,,,,
6,Alvi,20,Alimentacion y Medicamentos,Sitio oficial supermercados Alvi,,Direcciones,Correo de contacto para cada local,"RM, IV, V, VI, VII, VIII, IX, X, XVI Regiones",https://www.alvi.cl/locales,,,,,Aparece listado con direcciones cuando se selecciona al menos región,,,,,,,,,,
6,Alvi,21,Alimentacion y Medicamentos,Sitio oficial supermercados Alvi,,Horarios de atención,Correo de contacto para cada local,"RM, IV, V, VI, VII, VIII, IX, X, XVI Regiones",https://www.alvi.cl/locales,,,,,Aparece listado con horarios cuando se selecciona al menos región,,,,,,,,,,
