ID_Fuente,Fuente,ID_Dato ,Categoría,Descripción Fuente,Descarga Link,Descripción información,Email Contacto,Cobertura,Sitio Web,Link API,Especificaciones API,Descarga FTP,Descarga XML,Fecha Dato,Fecha Consulta,País,División Administrativa,Municipio,Observaciones,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Categorias
1,Waze,1,Transporte,Waze es una aplicación social de tránsito automotor en tiempo real y navegación asistida por GPS desarrollada por Waze Mobile. Muestra cómo insertar el mapa en tiempo real en un sitio web.,,,,Internacional,https://developers.google.com/waze/iframe,,,,,,2020-03-27,,,,,,,,,,,,,,Hospitales y Clinicas
2,MappingGIS,2,Transporte,Entrega información sobre cómo insertar un mapa de Google Maps en un sitio web en 10 pasos.,,,,Internacional,https://mappinggis.com/2012/05/como-insertar-un-mapa-de-google-maps-en-tu-web/,,,,,,2020-03-27,,,,,,,,,,,,,,Organizaciones
3,Moovit,3,Transporte,índice de Transporte Público de Moovit. Compara datos y estadísticas sobre el transporte público en varias ciudades. Muestra un análisis del impacto del COVID-19 en el uso del transporte público.,,,,Internacional,https://moovitapp.com/insights/es-419/Moovit_Insights_%C3%8Dndice_de_Transporte_P%C3%BAblico-countries,,,,,,2020-03-27,,,,,,,,,,,,,,Alimentacion y Medicamentos
3,Moovit,4,Transporte,"Entrega los pasos a seguir para incluir la app Moovit en cualquier sitio web (también se puede hacer para APPs), permitiendo que el usuario no se salga del sitio que está visitando.",,,widgetsupport@moovit.com,Nacional,https://company.moovit.com/developers/embedded/,,,,,,2020-03-27,,,,,,,,,,,,,,Cuarentena
4,Medium,5,Transporte,"API Transantiago para todos. Un grupo de personas desarrollo una API del transporte público de Santiago, la cual es abierta. Contiene información de servicios de buses y de Metro, posición de paraderos y estaciones, trazados de servicios y frecuencias y tiempos de viaje por periodo del día.",,,,Regional,https://medium.com/@ignacio_h_v/api-transantiago-para-todos-8a28b9074b0a,http://scltrans.it/#/,https://medium.com/@ignacio_h_v/api-transantiago-para-todos-8a28b9074b0a,,,,2020-03-27,Chile,Región Metropolitana,,,,,,,,,,,,Trabajo
5,DTP Metropolitano,6,Transporte,"El Directorio de Transporte Público Metropolitano busca analizar de forma integral el sistema de transporte público capitalino y velar por la adecuada coordinación de los diferentes modos que participan en el transporte público de la ciudad de Santiago.

 

",http://srv12.linuxhost.cl/~portaleq/descargas/GTFS.zip,Este GTFS contiene documentos de texto en un formato común para los horarios de transporte público y la información geográfica asociada a ellos. Al parecer lo van actualizando al día siguiente.,,Regional,http://www.dtpm.cl/index.php/gtfs-vigente,,,,,,2020-03-27,Chile,Región Metropolitana,,,,,,,,,,,,Transporte
5,DTP Metropolitano,7,Transporte,"Se dispone de un conjunto de datos y servicios para construir APPs, hacer estudios y análisis de información. Incluye Web Service de Posicionamiento, Web Service de Alertas, Portal de Datos Abiertos, Plan Operacional, Transacciones BIP.",http://www.dtpm.cl/archivos/ejemplo_posiciones.zip,Esta carpeta tiene los pasos para obtener información actualizada cada 1 minuto de la posición de la flota completa de buses del sistema de transporte público de Santiago.,,Regional,http://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/datos-y-servicios,,,,,,2020-03-27,Chile,Región Metropolitana,,,,,,,,,,,,Economía
5,DTP Metropolitano,8,Transporte,"Se dispone de un conjunto de datos y servicios para construir APPs, hacer estudios y análisis de información. Incluye Web Service de Posicionamiento, Web Service de Alertas, Portal de Datos Abiertos, Plan Operacional, Transacciones BIP.",http://www.dtpm.cl/archivos/ejemplo_alertas.zip,Esta carpeta tiene los pasos para obtener las alertas operacionales generadas en el sistema de transporte.,,Regional,http://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/datos-y-servicios,,,,,,2020-03-27,Chile,Región Metropolitana,,,,,,,,,,,,
5,DTP Metropolitano,9,Transporte,"Se dispone información acerca del Plan de Operación que deben cumplir los servicios de transporte. Incluye Consolidados, Archivos Geográficos, Programa de Operación Días Especiales Programados, Programas de Operación Primer Semestrede 2020 vigente.",http://www.dtpm.cl/descargas/pops20/02)%20Shapes%2002Mar2020.zip,Este archivo en formato SHAPE contiene información de Rutas,,Regional,http://www.dtpm.cl/index.php/noticias/pov2,,,,,,2020-03-27,Chile,Región Metropolitana,,,,,,,,,,,,
5,DTP Metropolitano,10,Transporte,"Se dispone información acerca del Plan de Operación que deben cumplir los servicios de transporte. Incluye Consolidados, Archivos Geográficos, Programa de Operación Días Especiales Programados, Programas de Operación Primer Semestrede 2020 vigente.",http://www.dtpm.cl/descargas/pops20/Rutas%20al%2002Mar2020.kmz,Este archivo en formato KMZ contiene información de Rutas,,Regional,http://www.dtpm.cl/index.php/noticias/pov2,,,,,,2020-03-27,Chile,Región Metropolitana,,,,,,,,,,,,
