ID_Fuente,Fuente,ID_Dato ,Categoria,Descripción Fuente,Descarga Link,Descripción información,Email Contacto,Cobertura,Sitio Web,Link API,Especificaciones API,Descarga FTP,Fecha consulta,Fecha publicación,País,División administrativa,Descarga XML,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Categorias
1,Dirección del trabajo,1,Trabajo,"La Dirección del Trabajo es un Servicio Público descentralizado, con personalidad jurídica y patrimonio propio. Está sometido a la supervigilancia del Presidente de la República a través del Ministerio del Trabajo y Previsión Social, y se rige por su Ley Orgánica (D.F.L. Nº 2, del 30 de mayo de 1967) y el D.L. Nº 3.501 de 1981.",https://www.dt.gob.cl/legislacion/1624/articles-118468_recurso_pdf.pdf,"complementa doctrina contenida en dictámenes N°1116/004 y N°1239/005 que fijan criterios y orientaciones sobre el impacto, en materia laboral, de la emergencia sanitaria provocada por el virus Covid-19.",,,https://www.dt.gob.cl/legislacion/1624/w3-channel.html,,,,2020-03-27,22/03/202,Chile,Ministerial,,,,,,,,,,,,Hospitales y Clinicas
1,Dirección del trabajo,2,Trabajo,"La Dirección del Trabajo es un Servicio Público descentralizado, con personalidad jurídica y patrimonio propio. Está sometido a la supervigilancia del Presidente de la República a través del Ministerio del Trabajo y Previsión Social, y se rige por su Ley Orgánica (D.F.L. Nº 2, del 30 de mayo de 1967) y el D.L. Nº 3.501 de 1981.",https://www.dt.gob.cl/legislacion/1624/articles-118469_recurso_pdf.pdf,"Complementa doctrina contenida en Dictamen N°1116/004, de 06.03.2020, que fija criterios y orientaciones sobre el impacto, en materia laboral, de la emergencia sanitaria provocada por el virus Covid-19, en el sentido que indica.",,,https://www.dt.gob.cl/legislacion/1624/w3-channel.html,,,,2020-03-27,2020-03-19 00:00:00,Chile,Ministerial,,,,,,,,,,,,Organizaciones
1,Dirección del trabajo,3,Trabajo,"La Dirección del Trabajo es un Servicio Público descentralizado, con personalidad jurídica y patrimonio propio. Está sometido a la supervigilancia del Presidente de la República a través del Ministerio del Trabajo y Previsión Social, y se rige por su Ley Orgánica (D.F.L. Nº 2, del 30 de mayo de 1967) y el D.L. Nº 3.501 de 1981.",https://www.dt.gob.cl/legislacion/1624/articles-118384_recurso_pdf.pdf,Fija criterios y orientaciones sobre el impacto laboral de una emergencia sanitaria (Covid-19),,,https://www.dt.gob.cl/legislacion/1624/w3-channel.html,,,,2020-03-27,2020-03-06 00:00:00,Chile,Ministerial,,,,,,,,,,,,Alimentacion y Medicamentos
1,Dirección del trabajo,4,Trabajo,"La Dirección del Trabajo es un Servicio Público descentralizado, con personalidad jurídica y patrimonio propio. Está sometido a la supervigilancia del Presidente de la República a través del Ministerio del Trabajo y Previsión Social, y se rige por su Ley Orgánica (D.F.L. Nº 2, del 30 de mayo de 1967) y el D.L. Nº 3.501 de 1981.",,"Inspecciones y oficinas, ubicación.",,,https://www.dt.gob.cl/portal/1626/w3-propertyvalue-22792.html#recuadros_articulo_17468_0,,,,2020-03-27,,Chile,Ministerial,,,,,,,,,,,,Cuarentena
2,Instituto de seguridad laboral,5,Trabajo,"El Instituto de Seguridad Laboral, es la entidad pública encargada de administrar el Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales. Es un servicio público que pertenece al Ministerio del Trabajo y Previsión Social, y a través de su actuar genera Valor Público otorgando Calidad de Vida a los y las trabajadores/as",,Contacto de consultas y envío de antecedentes,,,https://www.isl.gob.cl/covid-19/,,,,2020-03-27,,Chile,Ministerial,,,,,,,,,,,,Trabajo
2,Instituto de seguridad laboral,6,Trabajo,"El Instituto de Seguridad Laboral, es la entidad pública encargada de administrar el Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales. Es un servicio público que pertenece al Ministerio del Trabajo y Previsión Social, y a través de su actuar genera Valor Público otorgando Calidad de Vida a los y las trabajadores/as",,Información para usuarios referente al COVID-19.,,,https://www.isl.gob.cl/covid-19/,,,,2020-03-27,,Chile,Ministerial,,,,,,,,,,,,Transporte
2,Instituto de seguridad laboral,7,Trabajo,"El Instituto de Seguridad Laboral, es la entidad pública encargada de administrar el Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales. Es un servicio público que pertenece al Ministerio del Trabajo y Previsión Social, y a través de su actuar genera Valor Público otorgando Calidad de Vida a los y las trabajadores/as",https://drive.google.com/file/d/1_R5DmW6wLaFUmm7mRLJ_uoMQ8bUQULGb/view?usp=drive_web,Medidas implementadas por Prestadores Médicos en Convenio con el Instituto de Seguridad Laboral por COVID-19: ACHS,,,https://www.isl.gob.cl/covid-19/,,,,2020-03-27,,Chile,Ministerial,,,,,,,,,,,,Economía
2,Instituto de seguridad laboral,8,Trabajo,"El Instituto de Seguridad Laboral, es la entidad pública encargada de administrar el Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales. Es un servicio público que pertenece al Ministerio del Trabajo y Previsión Social, y a través de su actuar genera Valor Público otorgando Calidad de Vida a los y las trabajadores/as",https://drive.google.com/file/d/1qwECD5lSSKQOnFfemcOz-0rcykOOk4Lh/view?usp=drive_web,Medidas implementadas por Prestadores Médicos en Convenio con el Instituto de Seguridad Laboral por COVID-19: CAPREDENA La Florida,,,https://www.isl.gob.cl/covid-19/,,,,,,,,,,,,,,,,,,,
2,Instituto de seguridad laboral,9,Trabajo,"El Instituto de Seguridad Laboral, es la entidad pública encargada de administrar el Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales. Es un servicio público que pertenece al Ministerio del Trabajo y Previsión Social, y a través de su actuar genera Valor Público otorgando Calidad de Vida a los y las trabajadores/as",https://drive.google.com/file/d/1poVkkmwnR-bCt6DiNCmwWczF8jUokrej/view?usp=drive_web,Medidas implementadas por Prestadores Médicos en Convenio con el Instituto de Seguridad Laboral por COVID-19: Centro de Psicología Aplicada,,,https://www.isl.gob.cl/covid-19/,,,,,,,,,,,,,,,,,,,
2,Instituto de seguridad laboral,10,Trabajo,"El Instituto de Seguridad Laboral, es la entidad pública encargada de administrar el Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales. Es un servicio público que pertenece al Ministerio del Trabajo y Previsión Social, y a través de su actuar genera Valor Público otorgando Calidad de Vida a los y las trabajadores/as",https://drive.google.com/file/d/1uFpOKTnZgjoEz1gJV-zbxIdcAvzwLSSP/view?usp=drive_web,Medidas implementadas por Prestadores Médicos en Convenio con el Instituto de Seguridad Laboral por COVID-19: Clínica Biobio,,,https://www.isl.gob.cl/covid-19/,,,,,,,,,,,,,,,,,,,
