ID_Fuente,Fuente,ID_Dato ,Categoria,Descripción Fuente,Descarga Link,Descripción información,Email Contacto,Cobertura,Sitio Web,Link API,Especificaciones API,Descarga FTP,Descarga XML,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Categorias
1,Clinica Alemana,1,,Informacion de atencion en epoca covid-19,,"Link con informacion de atencion, cuando acudir dependiendo de necesidad y sintomas",,nacional,https://www.clinicaalemana.cl/coronavirus-covid19/coronavirus,,,,,,,,,,,,,,,Hospitales y Clinicas
1,Clinica Alemana,2,,Nuevas medidas ante pandemia Covid-19,,"Informacion sobre medidas en clinica alemana por covid-19, Nueva Hospitalización Exclusiva para Enfermos Covid-19, Cierre Unidades y Servicios Ambulatorios, Actualización protocolos de atención en Urgencia Respiratoria y ajuste aranceles",,nacional,https://www.clinicaalemana.cl/coronavirus-covid19/nueva-medidas-frente-a-pandemia-covid-19,,,,,,,,,,,,,,,Organizaciones
1,Clinica Alemana,3,,Restricción de visitas a pacientes,,protocolo de visita a clinica alemana,,nacional,https://www.clinicaalemana.cl/coronavirus-covid19/restriccion-de-visitas-a-pacientes-protocolo,,,,,,,,,,,,,,,Alimentacion y Medicamentos
1,Clinica Alemana,4,,Informacion general y catastro de OMS de total de casos,,Entrega informacion general sobre el covd-19 y al final muestra el mapa actualizado de totales contagiados de la oms,,nacional,https://www.clinicaalemana.cl/coronavirus-covid19/coronavirus-claves-entender-enfermedad,,,,,,,,,,,,,,,Cuarentena
1,Clinica Alemana,5,,"Como llegar, direccion y telefono",,"Link a google maps, que ayuda a llegar por distintos medios, encontrar el mejor camino, entrega informacion de telefono y direccion de cada sucursal",,nacional,https://www.clinicaalemana.cl/nuestra-clinica/como-llegar,,,,,,,,,,,,,,,Trabajo
1,Clinica Alemana vitacura,6,,direccion en google maps,,Link directo de google maps clinica Alemana vitacura,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+Alemana/@-33.3924357,-70.5752052,17z/data=!4m12!1m6!3m5!1s0x9662ced513235f8f:0xb555d18f0071c68c!2sCl%C3%ADnica+Alemana!8m2!3d-33.3924402!4d-70.5730165!3m4!1s0x9662ced513235f8f:0xb555d18f0071c68c!8m2!3d-33.3924402!4d-70.5730165",,,,,,,,,,,,,,,
1,Clinica Alemana chicureo,7,,direccion en google maps,,Link directo de google maps clinica Alemana Chicureo,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+Alemana+de+Chicureo/@-33.2864094,-70.6543621,17z/data=!4m12!1m6!3m5!1s0x9662b9f3a21e1d05:0x57e1a71c623a6609!2sCl%C3%ADnica+Alemana+de+Chicureo!8m2!3d-33.2864139!4d-70.6521734!3m4!1s0x9662b9f3a21e1d05:0x57e1a71c623a6609!8m2!3d-33.2864139!4d-70.6521734",,,,,,,,,,,,,,,
2,Red salud,8,,Horarios de atencion,,Muestra los horarios de atencion que van modificando a diario en la pagina,,nacional,https://www.redsalud.cl/acerca-de-redsalud/noticias/horarios-de-atencion,,,,,,,,,,,,,,,Transporte
2,Red salud,9,,INDICACIONES PARA TRASLADARSE A UN CENTRO DE SALUD DURANTE CUARENTENA TOTAL,,Informacion de como funcionan los servicios de salud en cuarentena por covid-19,,nacional,https://www.redsalud.cl/acerca-de-redsalud/noticias/cuarentena-obligatoria-como-funcionan-los-servicios-de-salud,,,,,,,,,,,,,,,Economía
2,Red salud,10,,"Como llegar, direccion y telefono",,"Como llegar y deireccion de cada sucursal, asociado a google maps que indica mejor camino",,nacional,https://www.redsalud.cl/ubicaciones,,,,,,,,,,,,,,,
2,Red salud,11,,Informacion sobre urgencia en red salud,,Informacion de urgencia y cuando ir en caso de covid-19,,nacional,https://www.redsalud.cl/salud-y-cuidados/urgencia-en-clinicas-redsalud,,,,,,,,,,,,,,,
2,red salud,12,,Evaluador de sintomas en linea,,link en donde acceder a un evaluador de sintomas en caso de sospecha de covid19,,nacional,https://www.redsalud.cl/evaluador-covid-19,,,,,,,,,,,,,,,
2,Red salud Santiago,13,,direccion en google maps,,link google map red urgencia salud santiago,,nacional,"https://www.google.cl/maps/place/Cl%C3%ADnica+RedSalud+Santiago/@-33.4574432,-70.7038119,17z/data=!4m12!1m6!3m5!1s0x9662c488f6fb7f27:0x5d92d4b6e8ec7901!2sCl%C3%ADnica+RedSalud+Santiago!8m2!3d-33.4574432!4d-70.7016232!3m4!1s0x9662c488f6fb7f27:0x5d92d4b6e8ec7901!8m2!3d-33.4574432!4d-70.7016232?hl=es",,,,,,,,,,,,,,,
2,Red Salud providencia,14,,direccion en google maps,,link google map urgencia red salud Providencia,,nacional,"https://www.google.com/maps/place/Urgencia+Adultos/@-33.4349717,-70.6261165,19z/data=!4m12!1m6!3m5!1s0x9662c586ebdb3ea9:0x603ae2947581d730!2sUrgencia+Adultos!8m2!3d-33.4348084!4d-70.6258102!3m4!1s0x9662c586ebdb3ea9:0x603ae2947581d730!8m2!3d-33.4348084!4d-70.6258102",,,,,,,,,,,,,,,
2,Red Salud Vitacura,15,,direccion en google maps,,link google map urgencia red salud Vitacura,,nacional,"https://www.google.cl/maps/place/Tabancura+1233,+Vitacura,+Regi%C3%B3n+Metropolitana/@-33.3817376,-70.5373509,17z/data=!4m13!1m7!3m6!1s0x9662c95303c259d9:0xca1f1a84f552be21!2sTabancura+1233,+Vitacura,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.3817376!4d-70.5351622!3m4!1s0x9662c95303c259d9:0xca1f1a84f552be21!8m2!3d-33.3817376!4d-70.5351622?hl=es",,,,,,,,,,,,,,,
2,Red Salud Iquique,16,,direccion en google maps,,link google map urgencia red salud Iquique,,nacional,"https://www.google.cl/maps/place/Clinica+RedSalud+Iquique+-+Servicios+de+Urgencia/@-20.2181502,-70.1563958,17z/data=!4m12!1m6!3m5!1s0x915211547337885f:0x25e6c4eed337ef35!2sClinica+RedSalud+Iquique+-+Servicios+de+Urgencia!8m2!3d-20.2181502!4d-70.1542071!3m4!1s0x915211547337885f:0x25e6c4eed337ef35!8m2!3d-20.2181502!4d-70.1542071?hl=es",,,,,,,,,,,,,,,
2,Red Salud Elqui,17,,direccion en google maps,,link google map urgencia red salud Elqui,,nacional,"https://www.google.cl/maps/place/Clinica+RedSalud+Elqui+-+Servicios+de+Urgencia/@-29.9136036,-71.2594136,17z/data=!3m1!4b1!4m5!3m4!1s0x9691ca69662dbfb3:0x77b6b0c52f7d622!8m2!3d-29.9136036!4d-71.2572249?hl=es&shorturl=1",,,,,,,,,,,,,,,
