fecha,local_id,local_nombre,comuna_nombre,localidad_nombre,local_direccion,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_telefono,local_lat,local_lng,funcionamiento_dia,fk_region,fk_comuna,fk_localidad
27-04-20,1,CRUZ VERDE ,QUILLOTA,QUILLOTA,"OHIGGINS 195, LOCAL 1",08:30:00,18:30:00,+56332269467,-32.8793428949969,-71.2467871500868,lunes,6,69,32
27-04-20,2,CRUZ VERDE,LA CALERA,LA CALERA,J.J. PEREZ 202,08:30:00,18:30:00,+56332724714,-32.788066282624,-71.1897310126255,lunes,6,56,12
27-04-20,3,CRUZ VERDE,LIMACHE,LIMACHE,URMENETA 99,08:30:00,18:30:00,+56332415940,-32.9849921792696,-71.2757177058683,lunes,6,59,17
27-04-20,4,CRUZ VERDE,LIMACHE,LIMACHE,REPUBLICA 281,08:30:00,18:30:00,+56332418343,-33.0025007197382,-71.2654977848501,lunes,6,59,17
27-04-20,5,AHUMADA,LA CALERA,LA CALERA,J J PEREZ 199,09:00:00,21:00:00,+563326316573,-32.7882065329844,-71.189446195146,lunes,6,56,12
27-04-20,8,AHUMADA,LA CALERA,LA CALERA,PROLONGACION JJ. PEREZ 12010,09:30:00,21:30:00,+56026313722,-32.7908926027982,-71.1920957384256,lunes,6,56,12
27-04-20,9,AHUMADA,QUILLOTA,QUILLOTA,AV. 21 DE MAYO 311,08:30:00,17:30:00,+5633314997,-32.8743896181991,-71.2419067293266,lunes,6,69,32
27-04-20,10,AHUMADA,QUILLOTA,QUILLOTA,O`HIGGINS 114-116,08:30:00,18:30:00,+563326313154,-32.8785857529787,-71.2467680389193,lunes,6,69,32
27-04-20,11,SALCOBRAND,LA CALERA,LA CALERA,J.J. PEREZ 205,09:00:00,19:30:00,+56332225450,-32.7880523605412,-71.1894957968335,lunes,6,56,12
27-04-20,13,SALCOBRAND,QUILLOTA,QUILLOTA,CHACABUCO 299,09:00:00,19:30:00,+56332269530,-32.8783291577425,-71.2464943929409,lunes,6,69,32
27-04-20,14,KNOP,QUILLOTA,QUILLOTA,CHACABUCO 225,10:00:00,20:00:00,+56332315136,-32.8781586740176,-71.2459450658586,lunes,6,69,32
27-04-20,15,KNOP,LA CALERA,LA CALERA,J.J. PEREZ 247,10:00:00,21:00:00,+56332229081,-32.7876998783928,-71.1895405374846,lunes,6,56,12
27-04-20,17,CRUZ VERDE,QUILLOTA,QUILLOTA,CHACABUCO 281,09:00:00,21:00:00,+56332319578,-32.878335491624,-71.246141889165,lunes,6,69,32
27-04-20,19,SALCOBRAND,QUILLOTA,QUILLOTA,O´HIGGINS 157,09:30:00,21:00:00,+56332314885,-32.8787432073754,-71.2465369030562,lunes,6,69,32
27-04-20,20,SALCOBRAND,LIMACHE,LIMACHE,URMENETA 68,09:00:00,21:00:00,+56415298,-32.9851431062104,-71.2763421550883,lunes,6,59,17
